Name,Symbol,Market,Sector,Industry,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales (ttm),Price/book (mrq),Enterprise value/revenue,Enterprise value/EBITDA,Total ESG risk score,Environmental Risk Score,Social Risk Score,Governance Risk Score
Linde plc,LIN.DE,GDAXI,Specialty Chemicals,Basic Materials,107.53,124.78,47.26,NA,NA,3.84,2.4,4.45,15.16,69,62,73,75
Deutsche Telekom AG,DTE.DE,GDAXI,Telecom Services,Communication Services,68.11,164.64,17.53,14.8,1.46,0.82,2.19,1.97,6.83,17,2,7,7
Henkel AG & Co. KGaA,HEN3.DE,GDAXI,Household & Personal Products,Consumer Defensive,33.81,39.82,17.44,NA,NA,1.68,1.96,1.98,10.7,21,6,7,8
Beiersdorf Aktiengesellschaft,BEI.DE,GDAXI,Household & Personal Products,Consumer Defensive,22.9,21.89,31.89,NA,NA,2.99,3.77,2.86,16.77,23,8,7,8
Deutsche Post AG,DPW.DE,GDAXI,Integrated Freight & Logistics,Industrials,42.39,57.03,19.75,NA,NA,0.67,2.94,0.89,12.93,19,5,8,6
Infineon Technologies AG,IFX.DE,GDAXI,Semiconductors,Technology,26.11,24.05,33.77,NA,NA,3.27,2.63,3.01,12.23,18,7,5,6
Deutsche Bank Aktiengesellschaft,DBK.DE,GDAXI,Banks—Regional,Financial Services,15.63,-123.16,NA,NA,NA,0.73,0.26,-5.73,NA,33,2,15,16
Deutsche Lufthansa AG,LHA.DE,GDAXI,Airlines,Industrials,4.42,10.1,NA,NA,NA,0.13,0.5,0.29,3.33,24,8,11,5
RWE Aktiengesellschaft,RWE.DE,GDAXI,Utilities—Diversified,Utilities,19.62,22.19,2.37,NA,NA,1.47,1.17,1.67,-33.01,38,19,11,8
Daimler AG,DAI.DE,GDAXI,Auto Manufacturers,Consumer Cyclical,41.29,177.53,NA,NA,NA,0.26,0.72,1.12,25.14,27,9,7,10
Bayer Aktiengesellschaft,BAYN.DE,GDAXI,Drug Manufacturers—General,Healthcare,55.59,90.72,12.81,7.55,2.07,1.26,1.14,2.06,8.02,38,3,25,11
adidas AG,ADS.DE,GDAXI,Footwear & Accessories,Consumer Cyclical,45.9,48.48,33.45,29.68,1.23,2.04,6.81,2.15,20.01,14,2,4,7
thyssenkrupp AG,TKA.DE,GDAXI,Metal Fabrication,Industrials,4.04,12.07,NA,NA,NA,0.1,5.37,0.29,27.01,38,16,13,9
Bayerische Motoren Werke AG,BMW.DE,GDAXI,Auto Manufacturers,Consumer Cyclical,36.26,141.52,7.54,5.07,1.16,0.35,0.62,1.35,11.72,27,7,8,12
BASF SE,BAS.DE,GDAXI,Chemicals,Basic Materials,43.76,67.07,68.74,NA,NA,0.75,1.17,1.16,10.67,30,14,7,9
Continental Aktiengesellschaft,CON.DE,GDAXI,Auto Parts,Consumer Cyclical,17.16,22.55,NA,4.93,1.35,0.4,1.14,0.52,7.28,13,2,4,7
Munchener Ruckversicherungs-Gesellschaft Aktiengesellschaft,MUV2.DE,GDAXI,Insurance—Reinsurance,Financial Services,31.65,31.16,13.93,13.78,NA,0.56,1.1,0.55,7.71,17,1,8,9
Siemens Aktiengesellschaft,SIE.DE,GDAXI,Specialty Industrial Machinery,Industrials,89.27,127.99,22.08,NA,NA,1.02,2.01,1.47,12.95,29,10,7,13
SAP SE,SAP.DE,GDAXI,Software—Application,Technology,157.32,176.59,34.87,NA,NA,5.6,5.47,6.28,23.64,13,1,5,6
Allianz SE,ALV.DE,GDAXI,Insurance—Diversified,Financial Services,73.58,78.25,10.06,9.59,1.63,0.68,1.06,0.72,6.43,17,1,6,10
Deutsche Borse AG,DB1.DE,GDAXI,Financial Data & Stock Exchanges,Financial Services,28.83,-97.47,26.31,NA,NA,8.2,4.73,-27.72,-54.08,16,1,7,7
Fresenius SE & Co. KGaA,FRE.DE,GDAXI,Medical Care Facilities,Healthcare,27.66,61.46,12.57,NA,NA,0.77,1.38,1.71,10.13,19,0,9,10
Fresenius Medical Care AG & Co. KGaA,FME.DE,GDAXI,Medical Care Facilities,Healthcare,22.55,36.16,18.36,NA,NA,1.26,1.81,2.03,11.77,20,0,9,11
HeidelbergCement AG,HEI.DE,GDAXI,Building Materials,Basic Materials,9.62,20.22,8.82,NA,NA,0.51,0.57,1.07,6.99,28,15,4,9
Volkswagen AG,VOW3.DE,GDAXI,Auto Manufacturers,Consumer Cyclical,66.81,237.59,5.98,NA,NA,0.27,0.52,0.96,8.68,42,13,12,17
Wirecard AG,WDI.DE,GDAXI,Software—Application,Technology,-1.73,-1.73,0.48,NA,NA,0.09,0.1,-0.67,-2.33,27,0,12,15
Hang Seng Bank Limited,0011.HK,HSI,Banks—Regional,Financial Services,236.88,105.6,9.7,NA,NA,6.38,1.32,2.85,NA,22,1,10,10
Power Assets Holdings Limited,0006.HK,HSI,Utilities—Independent Power Producers,Utilities,91.13,89.47,12.78,NA,NA,67.61,1.07,66.37,53.42,44,23,13,9
Henderson Land Development Company Limited,0012.HK,HSI,Real Estate Services,Real Estate,140.39,228.68,8.26,NA,NA,5.81,0.44,9.46,23.37,22,4,7,10
